photo_id,captured_at,site,perch,observer,individual,id_confidence,age,sex,band_visible,band_code,traits_seen,quality,processing,notes,store,store_ref,source_name,date_source,ingested_at,camera,lens,focal_mm,shutter,aperture,iso,width,height,has_gps,readable,sha256,dhash
20260804-f3001faa,2026-02,nashua-downtown,in-flight,jarrod,,unknown,adult,,yes,,spread-wing;legs;tarsus,good,cropped,"Feb 2026 in flight. ONE leg in view carrying a plain silver FEDERAL band; bi-colour coded band is on the other leg, not in frame. Proves a banded adult exists; identifies nothing. NOT assigned to an individual - curator rule 2026-08-10: no ID counted without a photo of a readable band. File is 5.5MP from a 33MP body, so the original may hold ~3.6x more on the tarsus.",local,photos/2026/08/20260804-f3001faa.jpg,Peregrine Falcon - BAND.jpg,manual,2026-08-03T22:45:09+00:00,,,,,,,2768,1977,no,yes,f3001faaea9d2ce345ed465eaf6e7f7871eaad6254c50ef964e2807f92495ad7,048a162459b9346d
20260722-e5e2cee9,2026-07-22T14:52:15,nashua-downtown,in-flight,jarrod,nashua-03,probable,juvenile,,no,,flight-profile,good,out-of-camera,"captioned ""Juvenile on the Hunt"", 2026-07-22, hunting Oxbow Pond harried by a kingbird. Legs tucked into the belly feathers in flight - band zone not visible. | UNBANDED - curator determination 2026-08-23, from repeated close observation of the legs while the bird fed on its plucking post.",local,photos/2026/07/20260722-e5e2cee9.jpg,Perergrine Falcons-1.jpg,exif,2026-08-03T22:45:09+00:00,SONY ILCE-7M4,FE 200-600mm F5.6-6.3 G OSS,600.0,1/1600,6.3,250,2682,1788,no,yes,e5e2cee9343f43b6f65e9a3c6e721ecd5a99996c0caf10bd930b8a81aae4eb9c,0f1f777b7979f2fe
20260722-5cf2df73,2026-07-22T15:04:06,nashua-downtown,radio-tower,jarrod,nashua-02,probable,adult,female,no,,malar;breast;tarsus,good,out-of-camera,"captioned ""Female"" in Jarrod email 2026-07-22, radio tower, calling for the juvenile. BEST TARSUS VIEW IN THE WHOLE SET: one foot raised and tucked to the belly, tarsus clearly BARE - no band. Supports the group's unbanded-female claim. Other leg hidden behind the crossbar.",local,photos/2026/07/20260722-5cf2df73.jpg,Perergrine Falcons-2.jpg,exif,2026-08-03T22:45:09+00:00,SONY ILCE-7M4,FE 200-600mm F5.6-6.3 G OSS,600.0,1/1250,6.3,200,2861,1907,no,yes,5cf2df73287c5a0ddbfe654117d56da4fee6225edac04efb1dd6e521e759e1ce,9b3b3b8fcfc34f1c
20260722-ec1dd230,2026-07-22T15:04:33,nashua-downtown,radio-tower,jarrod,nashua-02,probable,adult,female,no,,malar;breast;tarsus,good,out-of-camera,"captioned ""Female"" in Jarrod email 2026-07-22, radio tower, calling for the juvenile. BEST TARSUS VIEW IN THE WHOLE SET: one foot raised and tucked to the belly, tarsus clearly BARE - no band. Supports the group's unbanded-female claim. Other leg hidden behind the crossbar.",local,photos/2026/07/20260722-ec1dd230.jpg,Perergrine Falcons-3 (1).jpg,exif,2026-08-03T22:45:09+00:00,SONY ILCE-7M4,FE 200-600mm F5.6-6.3 G OSS,600.0,1/1600,6.3,320,2629,1753,no,yes,ec1dd2306f583add864a7f2b274473020dcca6d98b198f67b91542f1e08b80ac,86844b6371b18f4d
20260722-48556f09,2026-07-22T15:14:52,nashua-downtown,brick-parapet,jarrod,,unknown,adult,,not-tested,,malar;breast,good,out-of-camera,adult on a white parapet cap; belly sits right at the parapet line so both legs are completely hidden. Matches neither the male (millyard stack) nor female (radio tower) caption from that afternoon - left unassigned deliberately.,local,photos/2026/07/20260722-48556f09.jpg,Perergrine Falcons-4.jpg,exif,2026-08-03T22:45:09+00:00,SONY ILCE-7M4,FE 200-600mm F5.6-6.3 G OSS,600.0,1/3200,6.3,640,2167,1445,no,yes,48556f0907e8dd3b9ae3ae3ab1ddc34f637ec1b61416db8fcdf580b1a317c30a,0f0f2f2337070f07
20260810-01229197,2026-08-10,nashua-downtown,in-flight,jarrod,nashua-03,probable,juvenile,,no,,flight-profile,good,screenshot,"2026-08-10 juvenile in flight, textbook: brown above with buff edging, VERTICAL streaking below. NOTE the feet are pale YELLOW, not blue-grey - see the correction in docs/id_method.md. | UNBANDED - curator determination 2026-08-23, from repeated close observation of the legs while the bird fed on its plucking post.",email-pdf-extract,,p1_0.png,manual,2026-08-10T23:14:17+00:00,,,,,,,1083,724,no,yes,0122919775dcae87f9d1181e7c38a261999808a49e78af73452abc3860acf723,032b93c34b120304
20260810-2b33b432,2026-08-10,nashua-downtown,in-flight,jarrod,nashua-03,probable,juvenile,,no,,flight-profile,good,screenshot,"2026-08-10 juvenile in flight, second frame. | UNBANDED - curator determination 2026-08-23, from repeated close observation of the legs while the bird fed on its plucking post.",email-pdf-extract,,p3_0.png,manual,2026-08-10T23:14:17+00:00,,,,,,,1084,840,no,yes,2b33b432ab627126a7155b8dd54ab166a57ce1673c1ff665c38e57ed15d935fe,000030c8e0424800
20260810-08f56710,2026-08-10,nashua-downtown,weathervane,jarrod,nashua-02,possible,adult,,no,,legs;tarsus,good,screenshot,"2026-08-10 clocktower weathervane. BOTH TARSI FULLY EXPOSED AND BARE - cleanest leg view in the project (37px of bare tarsus+foot: enough to resolve a band's presence, ~3.6x short of a readable code). Sex DISPUTED: Jarrod first called this bird the unbanded male, corrected it to the unbanded female, and Kevin independently called it the male, all on the same morning.",email-pdf-extract,,p4_1.png,manual,2026-08-10T23:14:17+00:00,,,,,,,1083,722,no,yes,08f56710aeada19e92a57c7eee5a8f83810a9f0e475a7ef0ec503ba3c4aea89c,27373128e0933735
20251108-ac451501,2025-11-08T09:18:21,nj-forsythe-brigantine,,david,,unknown,,,,,,,out-of-camera,"NOT A NASHUA BIRD. GPS 39.4466,-74.4158 = Forsythe NWR / Brigantine, coastal New Jersey, 443 km from Nashua, 2025-11-08. This is the trip David suspected was mixed into the album, found by coordinates in seconds after weeks of guessing at habitat by eye. Kept, not deleted - it is a real peregrine observation, just a different population.",drive-album,,PXL_20251108_141821008.RAW-01.COVER.jpg,exif,2026-08-16T22:29:58+00:00,Google Pixel 7 Pro,Pixel 7 Pro back camera 6.81mm f/1.85,6.81,1/647,1.85,658,4080,3072,yes,yes,ac4515011aaa9e91850823da4de9bc796bf3116dd4caec40628cd57bd3ec21f7,16d6868edacc0cc8
20251108-5909a499,2025-11-08T09:18:34,nj-forsythe-brigantine,,david,,unknown,,,,,,,out-of-camera,"NOT A NASHUA BIRD. GPS 39.4466,-74.4158 = Forsythe NWR / Brigantine, coastal New Jersey, 443 km from Nashua, 2025-11-08. This is the trip David suspected was mixed into the album, found by coordinates in seconds after weeks of guessing at habitat by eye. Kept, not deleted - it is a real peregrine observation, just a different population.",drive-album,,PXL_20251108_141834272.RAW-01.COVER.jpg,exif,2026-08-16T22:29:58+00:00,Google Pixel 7 Pro,Pixel 7 Pro back camera 6.81mm f/1.85,6.81,1/158,1.85,94,4080,3072,yes,yes,5909a499fe60e2655b716436a3348039ddc351104cac34f5866069d55701f1e1,624b4c6c289991df
20260810-d54124db,2026-08-10T07:17:06,nashua-downtown,,david,,,,,,,,,out-of-camera,,drive-album,,PEFA-01.jpg,exif,2026-08-16T22:29:58+00:00,SONY ILCE-7M4,FE 200-600mm F5.6-6.3 G OSS,600.0,1/2000,6.3,400,2736,1824,no,yes,d54124db256c5522172a0f032befcd3d406104e6665ea2896edee152e96a29a1,051be2c11d060304
20260810-ff3f87ac,2026-08-10T07:17:07,nashua-downtown,,david,,,,,,,,,out-of-camera,,drive-album,,PEFA-02.jpg,exif,2026-08-16T22:29:58+00:00,SONY ILCE-7M4,FE 200-600mm F5.6-6.3 G OSS,600.0,1/2000,6.3,400,3007,2011,no,yes,ff3f87ace42fee5877a26c8ded673cd1e1357213702d12e745555dfc89048f42,012b93c34b920300
20260810-ffa9047f,2026-08-10T07:17:07,nashua-downtown,,david,,,,,,,,,out-of-camera,,drive-album,,PEFA-03.jpg,exif,2026-08-16T22:29:58+00:00,SONY ILCE-7M4,FE 200-600mm F5.6-6.3 G OSS,600.0,1/2000,6.3,500,2611,2024,no,yes,ffa9047fccc47e4fa1d650ea85c1fa45d01c2b7e85a38b4ecd59c6216580aa83,000020c8e2424c00
20260810-990a53b5,2026-08-10T07:17:08,nashua-downtown,,david,,,,,,,,,out-of-camera,,drive-album,,PEFA-05.jpg,exif,2026-08-16T22:29:58+00:00,SONY ILCE-7M4,FE 200-600mm F5.6-6.3 G OSS,600.0,1/2000,6.3,500,2977,1985,no,yes,990a53b5543cd7b6c71b5007cd8c1afe3b39a71e3e1263319d8c65699a8d9a3e,972f97cb6773cb25
20260810-11acef95,2026-08-10T07:17:09,nashua-downtown,,david,,,,,,,,,out-of-camera,,drive-album,,PEFA-08.jpg,exif,2026-08-16T22:29:58+00:00,SONY ILCE-7M4,FE 200-600mm F5.6-6.3 G OSS,600.0,1/2000,6.3,500,3211,2141,no,yes,11acef955eae447cd2648d8622fee79585d5b5cf4232ed3a7010b053a26dde88,af97ca45e5d29208
20260810-f5ac3ad3,2026-08-10T07:17:28,nashua-downtown,,david,,,,,,,,,out-of-camera,,drive-album,,PEFA-10.jpg,exif,2026-08-16T22:29:58+00:00,SONY ILCE-7M4,FE 200-600mm F5.6-6.3 G OSS,600.0,1/3200,6.3,1250,4527,3018,no,yes,f5ac3ad355f4b1262cc4cf6701e8836c8d694b1ff951a7e1e446b975c578d0c4,161616169696560c
20260810-20ee22b6,2026-08-10T07:17:32,nashua-downtown,,david,,,,,,,,,out-of-camera,,drive-album,,PEFA-11.jpg,exif,2026-08-16T22:29:58+00:00,SONY ILCE-7M4,FE 200-600mm F5.6-6.3 G OSS,600.0,1/3200,6.3,800,2345,1563,no,yes,20ee22b6810b40e6b7f0a1567dbd8d1e3453a4533ceaad132e6b1cfaca7d2c37,0d07185925180a80
20260810-11171f74,2026-08-10T07:17:32,nashua-downtown,,david,,,,,,,,,out-of-camera,,drive-album,,PEFA-12.jpg,exif,2026-08-16T22:29:58+00:00,SONY ILCE-7M4,FE 200-600mm F5.6-6.3 G OSS,600.0,1/3200,6.3,800,2090,1393,no,yes,11171f749e5f3f74e550a8dd6437b35032d534802af7bce6c280d00d47253ce8,5c332d681a290404
20260810-3f42c27b,2026-08-10T07:17:32,nashua-downtown,,david,,,,,,,,,out-of-camera,,drive-album,,PEFA-13.jpg,exif,2026-08-16T22:29:58+00:00,SONY ILCE-7M4,FE 200-600mm F5.6-6.3 G OSS,600.0,1/3200,6.3,800,2197,1465,no,yes,3f42c27b549cc3d7ab8eb15dc2feb3625c79eba2743ab4a1f7645782c9b66f80,fd73edd8daf5e328
