sighting_id,date,time,site,count,age_classes,individuals,source,source_ref,photo_ids,confidence,notes
20260823-01,2026-08-23,17:46,nashua-downtown,2,2 adult,nashua-01;nashua-02,photo,"david 2026-08-23, 127 frames",20260823-b29b0158;20260823-a142e651;20260823-09c5e409;20260823-a79ae70a;20260823-828592c1;20260823-887a61b5;20260823-c61bc84b,confirmed,"THE BAND SESSION - the frames this project existed to get. Two hours on one adult on the radio-tower crossbar; band photographed at 340-420 px in a native 6144x8160 frame, bi-colour BLACK over GREEN, four glyph positions resolvable. Curator read: 53/BS. TWO ADULTS ON ONE DATE: banded bird on the crossbar 17:46, a SECOND adult with both tarsi BARE on the clocktower weathervane 19:47 - two hours apart, so the clock alone does not separate them, but ONE IS BANDED AND ONE IS NOT, which does. Shot on the Pixel 10 Pro 5x telephoto. Added 2026-08-24: this event was photographed but never given a sighting row."
20260815-01,2026-08-15,19:36,nashua-downtown,2,"1 adult, 1 juvenile",nashua-03,photo,"david, album",20260815-20a12e49;20260815-24561d14;20260815-4b4e3205;20260815-64674c59;20260815-9b0a73c4;20260815-d9267a3f;20260815-fd7afd12,probable,*** LAST PHOTOGRAPH OF THE JUVENILE *** Juvenile perched in a dead tree 19:36; an adult on the box/parapet 19:45 and 19:49. An un-ingested VIDEO from this session also exists (PXL_20260815_234515843.mp4) and has never been reviewed. Photographed but never given a sighting row until 2026-08-24.
20260812-01,2026-08-12,08:44,nashua-downtown,1,1 juvenile,nashua-03,photo,"david, album",20260812-0d0ad45b;20260812-0d9aa141;20260812-313e3310;20260812-57ca4b8c;20260812-b2c2bca3;20260812-efa51857,probable,"Juvenile alone on the crossbar, morning, 6 frames, clean blue sky - the best juvenile plumage series in the catalogue. Photographed but never given a sighting row until 2026-08-24."
20260810-01,2026-08-10,09:19,nashua-downtown,3,"2 adult, 1 juvenile",nashua-02;nashua-03,email;photo,email:jarrod 2026-08-10; email:kevin 2026-08-10,20260810-08f56710;20260810-01229197;20260810-2b33b432,possible,"An adult killed a bird atop the building in the alley between 1 Chestnut St and 100 Factory St - feathers visible from the street. The JUVENILE tried to land and was CHASED OFF, then screamed and circled: refusal to share food, i.e. weaning at ~8 weeks post-fledge. A second adult watched from the Clocktower weathervane and is PHOTOGRAPHED UNBANDED, both tarsi bare. Two independent photographers on the same event from opposite sides of the building; the second also shot an adult eating at the Mine Falls cell tower. OBSERVER SEX CALLS IN THIS THREAD CONTRADICT EACH OTHER - see INTEL.md; individuals assigned from band evidence only. [2026-08-24: this row previously existed TWICE with conflicting confidence (probable/possible); merged, keeping the conservative value and the union of both notes.]"
20260809-01,2026-08-09,19:59,nashua-downtown,2,"1 adult, 1 juvenile",nashua-03,photo,"david, album",20260809-22e3bc18;20260809-248de3b3;20260809-3c6968af;20260809-5f36195e;20260809-89ca4fbf;20260809-b3a487b9;20260809-cad6de8b;20260809-d7f43f7e;20260809-e2cbfb2c,probable,"Adult on the crossbar 19:59-20:16, JUVENILE 20:23-20:26. Photographed but never given a sighting row until 2026-08-24."
20260802-01,2026-08-02,17:45,bedford-101-bridge,1,,,ebird,"ebird US-NH-011 species feed, pulled 2026-08-03",,unknown,
20260730-01,2026-07-30,19:30,nashua-downtown,1,1 adult (assumed; age not stated),,ebird;email,"ebird US-NH-011 species feed, pulled 2026-08-03; email:mark 2026-07-31",,unknown,"reported as Amos, band G/B 53/BS. NOT COUNTED - curator rule 2026-08-10: no individual ID without a photo of a readable band. Band never read; photos never shared. Bird fed ~12 min on a window AC unit."
20260729-01,2026-07-29,10:21,nashua-downtown,1,,,ebird,"ebird US-NH-011 species feed, pulled 2026-08-03",,unknown,
20260727-01,2026-07-27,16:15,manchester-cohas-brook,1,,,ebird,"ebird US-NH-011 species feed, pulled 2026-08-03",,unknown,
20260724-02,2026-07-24,,nashua-downtown,0,,,email,email:jarrod 2026-07-24,,unknown,"NEST SEARCH, negative result: Clocktower inspected for a missing brick or roof gap, no ingress found. 99 Factory St ruled out - too many roosting pigeons. Not a bird sighting; logged because negative searches are evidence"
20260723-01,2026-07-23,20:20,nashua-river-jackson-mills,2,,,ebird,"ebird US-NH-011 species feed, pulled 2026-08-03",,unknown,"eBird count is birds seen, not birds identified; a 2 may be a pair, an adult with a fledgling, or one bird counted twice"
20260722-01,2026-07-22,20:45,nashua-mine-falls,1,,,ebird,"ebird US-NH-011 species feed, pulled 2026-08-03",,unknown,
20260722-02,2026-07-22,14:52,nashua-mine-falls,3,"2 adult, 1 juvenile",nashua-01;nashua-02;nashua-03,email;photo,email:jarrod 2026-07-22,20260722-e5e2cee9;20260722-5cf2df73;20260722-ec1dd230;20260722-48556f09,probable,"all three birds in one afternoon: juvenile hunting Oxbow Pond harried by a kingbird, female on the radio tower calling for it, male on the millyard stack. NH Audubon confirmed the fledgling 2026-07-23"
20260717-01,2026-07-17,11:36,bedford-101-bridge,2,,,ebird,"ebird US-NH-011 species feed, pulled 2026-08-03",,unknown,"eBird count is birds seen, not birds identified; a 2 may be a pair, an adult with a fledgling, or one bird counted twice"
20260715-01,2026-07-15,16:34,bedford-101-bridge,1,,,ebird,"ebird US-NH-011 species feed, pulled 2026-08-03",,unknown,
20260715-02,2026-07-15,11:02,bedford-101-bridge,1,,,ebird,"ebird US-NH-011 species feed, pulled 2026-08-03",,unknown,
20260715-03,2026-07-15,06:50,nashua-mine-falls,2,,,ebird,"ebird US-NH-011 species feed, pulled 2026-08-03",,unknown,"eBird count is birds seen, not birds identified; a 2 may be a pair, an adult with a fledgling, or one bird counted twice"
20260710-01,2026-07-10,06:50,manchester-moores-crossing,1,,,ebird,"ebird US-NH-011 species feed, pulled 2026-08-03",,unknown,
20260709-01,2026-07-09,10:42,bedford-101-bridge,1,,,ebird,"ebird US-NH-011 species feed, pulled 2026-08-03",,unknown,
20260707-01,2026-07-07,07:50,bedford-101-bridge,1,,,ebird,"ebird US-NH-011 species feed, pulled 2026-08-03",,unknown,
20260202-01,2026-02,,nashua-downtown,1,1 adult,nashua-01,photo,email:jarrod 2026-07-23,20260804-f3001faa,possible,"in-flight, both legs banded; silver federal band visible, code not resolvable. Month only - the file carried no EXIF"
